DATAFLOW,LAST UPDATE,freq,unit,LAND,TIME_PERIOD,EMISSIONEN,OBS_FLAG
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2017,108.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2018,98.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2019,97.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2020,89.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2001,97.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2002,99.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2003,96.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2004,105.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2005,106.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2006,105.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2007,105.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2008,102.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2009,104.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2010,104.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2011,101.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2012,101.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2013,101.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2014,101.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2015,101.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2016,100.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2017,98.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2018,94.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2019,95.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CY,2020,106.6,
